PROVEEDOR;REF.;COLONIALES;FORMATO;PRECIO/FORMATO
CAFER;30321-1;VASITO HELADO NAT/CHOC  PACK 4*0,70.;L;8.70
CAFER;30321-2;VASITO HELADO NAT/FRESA PACK 4*0,70.;L;11.53
CAFER;50252;VALENCIANAS;KG;2.84
CAFER;50053;GALLETAS CREMA-MARIA 4 UD. REYGA       ;KG;0.03
CAFER;10186;MENTA 100 BOLSITAS;KG;1.80
CAFER;20014;HUEVOS L DOCENA;KG;1.50
CAFER;10184;MEMBRILLOS PORCIONES 8 UDS. (12 PQ.);KG;1.00
CAFER;10019;AGUA 5 L;L;0.11
CAFER;10203;NESQUICK;KG;3.99
CAFER;50122;PAN RALLADO 5 KG, UD;KG;1.04
CAFER;10014;ACEITUNA DESHUESADA LLORENS 3 KG;KG;1.33
CAFER;10023;AJO MOLIDO 710 GR;KG;6.46
CAFER;10123;FLAN ROYAL 800 GR.;KG;5.48
CAFER;20012;HUEVO DURO LIMPIO BOTE 70 UD;KG;17.00
CAFER;10158;LAUREL HOJA 100-120 GRS.;KG;16.73
CAFER;10169;LEVADURA EN POLVO 900 GR;KG;3.61
CAFER;10176;MAIZ EN GRANO LATA 3 KG.;KG;0.98
CAFER;10194;MIEL 500 GR ANTIGOTEO;KG;3.98
CAFER;10210;OREGANO 150 GR;KG;14.00
CAFER;10793;CURCUMA;KG;7.81
CAFER;10624;CLAVO;KG;12.55
CAFER;10257;SIROPE DE CARAMELO;KG;10.80
CAFER;10283;TOMILLO 350 GR;KG;7.77
CAFER;30312;TINTA CALAMAR BOTE 500 GR;KG;15.90
CAFER;10110;EDULCORANTE  500 comp. SHIP;KG;1.23
CAFER;10277;TOMATE ENTERO CELORRIO 4 KG;KG;0.67
CAFER;10046;AZUCAR SOBRES 8 GR, 1000 UDS;KG;1.44
CAFER;10177;MANZANILLA 100 UDS.;KG;1.80
CAFER;20031;MARGARINA 10 GRS. 240 UDS.;KG;3.29
CAFER;10838;MERMELADA DIET 20 GR CASTER 396 UD;KG;2.29
CAFER;50127;PAN TOSTADO DE A  2, 200 UDS;KG;9.80
CAFER;50128;PAN TOSTADO DE A 2 S/S S/A , 200 UDS;KG;9.80
CAFER;50074;MAGDALENAS INTEGRALES 2,5 S/A SANTA CRUZ               ;KG;3.60
CAFER;50075;MAGDALENAS JJJJ 2,5 ENV. IND 60 U                           ;KG;3.19
CAFER;50055;GALLETAS MARIADIETETICAS (4 UD X 225)      ;KG;0.05
CAFER;30054;CANELON ATUN 100 UDS;KG;11.99
CAFER;30055;CANELON CARNE 100 UDS;KG;8.41
CAFER;30225;PASTA HOJALDRE EXTENDIDA;KG;3.41
CAFER;10034;ALUBIA BLANCA SECA, KG;KG;1.69
CAFER;10037;ARROZ EXTRA 5 KG, KG;KG;0.75
CAFER;10039;ARROZ VAPORIZADO 5 KG, KG;KG;1.08
CAFER;10041;ATUN ACEITE 1 KG L M13053;KG;4.25
CAFER;10045;AZUCAR 1 KG L3301;KG;0.99
CAFER;10055;CABALLA FILETE 1 KG;KG;4.92
CAFER;10057;CACAO SOLUBLE 1 KG  (tipo cola cao);KG;3.71
CAFER;10064-1;CAFE SBLE.DCFDO.500G.x8 P/B AZACONSA- conpe;KG;1.71
CAFER;10079;CEREAL SOLUBLE 900 GR;KG;7.90
CAFER;10220;ESPIRALES PASTA DE COLORES ROMERO 5 KG, KG;KG;1.45
CAFER;10117;ESPIRALES ROMERO 5 KG, KG;KG;0.86
CAFER;10120;FIDEO FINO 5 KG, KG;KG;0.86
CAFER;10131;GARBANZO SECO PEDROSILLANO;KG;1.29
CAFER;10144;HARINA 1 KG;KG;0.51
CAFER;10168;LENTEJA PARDINA 5 KG, KG;KG;1.54
CAFER;10170;MACARRONES ROMERO 5 KG, KG;KG;0.86
CAFER;20030;MARGARINA 1 KG;KG;1.60
CAFER;10238;PURE PATATA 25 KG, KG;KG;1.45
CAFER;10239;PURE PATATA 5 KG, KG;KG;1.99
CAFER;20045;QUESO BARRA, KG;KG;3.67
CAFER;20049;QUESO FRESCO 1 KG;KG;3.53
CAFER;20054;QUESO RALLADO 1 KG;KG;3.69
CAFER;10247;SAL FINA 1 KG;KG;0.18
CAFER;10261;SOPA ESTRELLAS ROMERO 5 KG, KG;KG;0.86
CAFER;10264;SOPA MARAVILLA ROMERO 5 KG, KG;KG;0.86
CAFER;10267;SPAGUETTI ROMERO 5 KG, KG;KG;0.86
